tag,词性,oldtag2count,oldexttag2count,newtag2cout,newtitleexttag2count,newdescexttag2count,classifer,entropy,entropyv2,remove
装修设计,装修/vn(其他) 设计/vn(其他),663.0,2832.0,1500.0,1841.0,2464.0,0.08514962416907985,5.46616642177642,5.532765773716429,0
三次元,三次元/n(名词),304.0,1692.0,802.0,315.0,2195.0,0.061645310999999994,5.31400911277396,3.51386101184537,0
a༒g,ag/nx(其他),58.0,30.0,26.0,14.0,13.0,0.2271859888954373,2.3627574894253702,0.693147180559945,1
aa百度云,aa/nx(其他) 百度云/n(名词),175.0,11.0,10.43196034811925,12.040185644585295,-189.74922872343205,0.8130642920000001,1.317892258914615,0.3547176680289409,1
九寨沟,九寨沟/ns(地名),2714.0,1090.0,2195.0,284.0,624.0,0.21884107462601862,5.22873435078994,3.9144183944945894,0
时彩,时彩/n(名词),134.0,1364.0,77.0,249.0,208.0,0.164567484,4.98100932931981,4.27229630842381,1
申论,申论/v(动词),1364.0,930.0,1992.0,567.0,411.0,0.20099158147251742,5.42152549416949,4.2144799623126605,0
广东,广东/ns(地名),1539.0,92582.0,4294.0,45503.0,24392.0,0.12846196448686903,7.547087403101781,7.45963498946103,0
炒股融投资,炒股/v(动词) 融投资/n(名词),66.0,,7.6940198598684315,278.9093519801598,178.01269548059196,0.0039356,1.7523777918134356,1.364546393300147,1
天天特价秒杀群,天天/nz(其他专名) 特价/n(名词) 秒杀/n(名词) 群/Ng(其他),171.0,191.0,78.0,181.0,37.0,0.080265546,4.35103755155554,0.409458618695089,0
盗q,盗/Vg(其他) q/nx(其他),828.0,894.0,28.0,25.0,95.0,0.24806349244786788,3.07801456774747,1.242453324894,1
湛江恒大帝景,湛江/ns(地名) 恒大/n(名词) 帝景/n(名词),51.0,1.0,23.0,-135.16032122105378,-20.995452049314146,0.009795446,0.7186896657753304,0.0574307687237888,1
集合竞价马,集合/v(动词) 竞价/v(动词) 马/n(名词),66.0,,19.346317078356737,1.58453634663561,-12.595244753014688,0.046450820999999996,0.39955763829223956,0.22019659625952914,1
盗取qq密码,盗取/v(动词) qq/n(名词) 密码/n(名词),107.0,3.0,24.0,2.497534231249176,-27.401970589494738,0.119021846,0.8778485486312575,0.07485069572137812,1
物联卡,物联卡/n(名词),62.0,187.0,136.0,155.0,77.0,0.164567484,4.20637536224247,3.4246328580176,1
爱军,爱/v(动词) 军/n(名词),157.0,1122.0,502.0,188.0,1297.0,0.35852870600000003,4.26047583084091,2.4640084231343398,1
游戏交流群,游戏/n(名词) 交流/vn(其他) 群/Ng(其他),303.0,19491.0,785.0,14955.0,11787.0,0.27413949600000004,7.59696258527222,6.165987556851519,1
大学生创业招打字,大学生/n(名词) 创业/vn(其他) 招/n(名词) 打字/vn(其他),60.0,60.0,3.0,21.831418687225558,-13.923365590106705,0.072929664,1.209934523029275,0.8221328994869941,1
打字员赚外快,打字员/n(名词) 赚/v(动词) 外快/n(名词),89.0,,2.0,-5.225772438208623,-19.90489786460796,0.197458825,0.01416508567280818,-0.03726442371860456,1
未婚少女,未婚/vn(其他) 少女/n(名词),829.0,33.0,1.0,4.0,3.0,0.25035652023910027,2.1639556568820604,0.693147180559945,1
汽车发动机保养,汽车/n(名词) 发动机/n(名词) 保养/vn(其他),60.0,,80.98531815453003,-70.62385889990013,-42.59556470971508,0.007228636,0.21702208915724236,0.14406580910932182,1
朴灿烈,朴灿烈/n(名词),748.0,800.0,1389.0,336.0,337.0,0.1698325349469496,5.12893388892305,3.3448358082983702,0
苹果代工厂招聘,苹果/n(名词) 代工厂/n(名词) 招聘/v(动词),76.0,,12.0,3.7366828751300387,1.0,0.007897766,1.0044281105917607,-0.04621580332823965,1
dnf私服,dnf/nx(其他) 私服/n(名词),278.0,510.0,621.0,383.0,559.0,0.073881723,4.507256916916179,2.90711993448385,0
武汉贷款,武汉/ns(地名) 贷款/n(名词),101.0,182.0,274.0,318.0,173.0,0.009005837,4.40437872806363,3.40197035986479,1
酒托,酒托/n(名词),71.0,492.0,104.0,169.0,248.0,0.164567484,4.32854410805652,3.03376296192976,1
鸳鸯浴,鸳鸯浴/n(名词),58.0,21.0,1.0,2.0,314.00633959130766,0.40959407,1.09861228866811,0.0,1
帝豪ev,帝豪/nz(其他专名) ev/nx(其他),136.0,10.0,28.0,9.0,8.0,0.053582471,2.82156380786036,2.30258509299405,1
私家侦探,私家/b(其他) 侦探/n(名词),1385.0,704.0,446.0,136.0,163.0,0.15850817230310277,3.2551105127277404,1.88669678465808,0
代孕妈妈,代孕/vn(其他) 妈妈/n(名词),99.0,139.0,5.0,6.593184420283453,5.0,0.08196829,0.9419475502430168,0.09202600687629901,1
购物优惠券,购物/v(动词) 优惠券/n(名词),171.0,1484.0,311.0,892.0,1006.0,0.008716136,4.80029810427839,3.4553297631604396,0
邯郸,邯郸/ns(地名),480.0,14762.0,1217.0,15871.0,9110.0,0.07998524343723838,7.036631966083809,6.825533683281179,0
微博营销,微博/n(名词) 营销/vn(其他),6477.0,327.0,7007.0,90.0,269.0,0.12619460482046166,4.05459220071694,3.58511918917594,0
学神,学/v(动词) 神/n(名词),342.0,2523.0,171.0,291.0,257.0,0.243536537,4.677590023130089,3.0840355603534104,0
优品,优品/n(名词),53.0,4470.0,123.0,6789.0,939.0,0.06657115799999999,4.78791024029392,3.46670451503388,1
开增票,开/v(动词) 增票/n(名词),134.0,60.0,14.0,8.0,21.0,0.22578957300000002,0.0,0.0,1
拼团,拼团/n(名词),213.0,3795.0,557.0,1534.0,2294.0,0.036838047,6.36018028720186,5.25240683414461,0
慢跑,慢跑/v(动词),267.0,740.0,434.0,272.0,545.0,0.047196712,5.33612257430846,4.30102015120878,0
郑州治疗白癜风,郑州/ns(地名) 治疗/vn(其他) 白癜风/n(名词),325.0,1.0,17.0,1.0,47.2991772098582,0.02384252,0.693147180559945,0.0,1
一切为了孩子！,一切/r(代词) 为了/p(介词) 孩子/n(名词) !/w(标点),58.0,722.0,38.0,5.0,315.0,0.8967491679999999,1.38629436111989,0.0,1
分分彩计划群,分分彩/n(名词) 计划/n(名词) 群/Ng(其他),75.0,37.0,7.0,12.0,1.0,0.369802675,1.30309240376172,0.0,1
指南者,指南者/nz(其他专名),229.0,236.0,92.0,95.0,117.0,0.00921288,4.35951595651158,3.96101902785071,0
