tag	oldtag2count	oldexttag2count	newtag2cout	newtitleexttag2count	newdescexttag2count	classifer	entropy	entropyv2
王者荣耀	1173401	3279958	78798	160178	177747	NULL	7.0666307943685	5.83865440684731
触手tv	109808	6124	1601	1199	965	NULL	6.0321685195003	3.63213207207816
单身	106364	147396	96195	64593	99112	NULL	6.19705144475257	6.29256532664375
创业	94446	105244	100397	24409	53511	NULL	7.26937785234567	6.90084717449773
游戏	92560	1747221	177926	64710	255924	NULL	7.55198766841851	7.18389422579591
美女	86165	227053	59120	32262	61885	NULL	6.83854049559577	6.30149538791581
k歌	87076	36595	65658	11241	23595	NULL	6.36042498927233	6.31463787590609
篮球	81004	89676	21254	27186	25209	NULL	7.16203294898675	6.7730523645945
吃货	77611	56226	31071	14315	13918	NULL	6.77526373868639	6.28123077760393
股票	63976	70535	83147	23618	58170	NULL	6.95544730737297	6.57644402750637
文艺青年	62932	2767	25097	377	385	NULL	5.44453611219327	4.61769177159363
羽毛球	61734	28332	15665	11333	11130	NULL	7.12690093884252	6.47143923749641
电信	60312	38801	25672	9024	10384	NULL	7.04055902234778	6.3717296159354
知识分子	51748	868	24991	131	185	NULL	4.5102299323989	3.44060654090053
学习	50945	276517	66171	45692	176065	NULL	7.59561072156632	7.50103577191202
足球	49562	50008	20512	14368	18930	NULL	7.46584758171386	6.66046172389205
自行车	49134	10551	4761	4406	7503	NULL	6.52067520964878	5.74005466147618
乒乓球	48796	14913	7627	7723	7433	NULL	6.49042866073551	6.43908949419977
淘宝	47779	120529	61872	52423	75594	NULL	6.82126945306785	6.24160673965624
八卦	47542	39501	17341	3684	7348	NULL	6.86208139516126	5.97736026729532
搞笑	47156	25294	30412	4125	8255	NULL	6.11646991851272	5.11623338164658
私企	46517	196	1254	40	128	NULL	4.2958581219042	3.34787741907957
勤工俭学	45343	5172	3065	1886	3048	NULL	5.63692236010142	4.96377400473651
旅游	45162	151826	68396	33872	73755	NULL	7.22329849028475	6.56027189478223
技术交流	44337	76450	18604	34763	93418	NULL	8.25733578438918	7.17477061893704
摄影	42224	66322	23233	26113	36314	NULL	7.25711573397385	6.54966007428919
运动	40728	142319	54581	11543	40761	NULL	7.00026775787007	6.50721291348676
兼职	40542	127008	80963	76753	127572	NULL	7.41003831214063	6.97529724563757
