tag,词性,oldtag2count,oldexttag2count,newtag2cout,newtitleexttag2count,newdescexttag2count,classifer,entropy,entropyv2,remove
装修设计,装修/vn(其他) 设计/vn(其他),663,2832,1500,1841,2464,NULL,5.46616642177642,5.53276577371643,0
三次元,三次元/n(名词),304,1692,802,315,2195,0.061645311,5.31400911277396,3.51386101184537,0
a༒g,ag/nx(其他),58,30,26,14,13,NULL,2.36275748942537,0.693147180559945,1
aa百度云,aa/nx(其他) 百度云/n(名词),175,11,NULL,NULL,NULL,0.813064292,NULL,NULL,1
九寨沟,九寨沟/ns(地名),2714,1090,2195,284,624,NULL,5.22873435078994,3.91441839449459,0
时彩,时彩/n(名词),134,1364,77,249,208,0.164567484,4.98100932931981,4.27229630842381,1
申论,申论/v(动词),1364,930,1992,567,411,NULL,5.42152549416949,4.21447996231266,0
广东,广东/ns(地名),1539,92582,4294,45503,24392,NULL,7.54708740310178,7.45963498946103,0
炒股融投资,炒股/v(动词) 融投资/n(名词),66,NULL,NULL,NULL,NULL,0.0039356,NULL,NULL,1
天天特价秒杀群,天天/nz(其他专名) 特价/n(名词) 秒杀/n(名词) 群/Ng(其他),171,191,78,181,37,0.080265546,4.35103755155554,0.409458618695089,0
盗q,盗/Vg(其他) q/nx(其他),828,894,28,25,95,NULL,3.07801456774747,1.242453324894,1
湛江恒大帝景,湛江/ns(地名) 恒大/n(名词) 帝景/n(名词),51,1,23,NULL,NULL,0.009795446,NULL,NULL,1
集合竞价马,集合/v(动词) 竞价/v(动词) 马/n(名词),66,NULL,NULL,NULL,NULL,0.046450821,NULL,NULL,1
盗取qq密码,盗取/v(动词) qq/n(名词) 密码/n(名词),107,3,24,NULL,NULL,0.119021846,NULL,NULL,1
物联卡,物联卡/n(名词),62,187,136,155,77,0.164567484,4.20637536224247,3.4246328580176,1
爱军,爱/v(动词) 军/n(名词),157,1122,502,188,1297,0.358528706,4.26047583084091,2.46400842313434,1
游戏交流群,游戏/n(名词) 交流/vn(其他) 群/Ng(其他),303,19491,785,14955,11787,0.274139496,7.59696258527222,6.16598755685152,1
大学生创业招打字,大学生/n(名词) 创业/vn(其他) 招/n(名词) 打字/vn(其他),60,60,3,NULL,NULL,0.072929664,NULL,NULL,1
打字员赚外快,打字员/n(名词) 赚/v(动词) 外快/n(名词),89,NULL,2,NULL,NULL,0.197458825,NULL,NULL,1
未婚少女,未婚/vn(其他) 少女/n(名词),829,33,1,4,3,NULL,2.16395565688206,0.693147180559945,1
汽车发动机保养,汽车/n(名词) 发动机/n(名词) 保养/vn(其他),60,NULL,NULL,NULL,NULL,0.007228636,NULL,NULL,1
朴灿烈,朴灿烈/n(名词),748,800,1389,336,337,NULL,5.12893388892305,3.34483580829837,0
苹果代工厂招聘,苹果/n(名词) 代工厂/n(名词) 招聘/v(动词),76,NULL,12,NULL,1,0.007897766,NULL,NULL,1
dnf私服,dnf/nx(其他) 私服/n(名词),278,510,621,383,559,0.073881723,4.50725691691618,2.90711993448385,0
