tag,词性,oldtag2count,oldexttag2count,newtag2cout,newtitleexttag2count,newdescexttag2count,classifer,entropy,entropyv2,predicte,pre_label
四川一区,四川/ns(地名) 一/m(数词) 区/n(名词),88,627,228,343,543,0.232281596,4.226852892,2.516024731,0.200003722,0
商城县,商城县/ns(地名),64,317,57,144,154,0.089302022,4.898134293,4.34325283,0.200012448,0
羊毛,羊毛/n(名词),978,5466,2827,4166,5627,,6.270115346,5.318862835,0.200029824,0
凯凯,凯凯/nr(其他),69,2885,99,426,481,0.300247826,5.253361063,4.070685662,0.200039748,0
u盘,u盘/n(名词),105,2145,353,1932,2861,0.164567484,5.310664659,4.323535912,0.20004229,0
广西人,广西人/n(名词),58,2824,199,3011,1492,0.164567484,4.644839683,4.502300572,0.200046703,0
集成墙板,集成/vn(其他) 墙板/n(名词),54,134,143,128,153,0.032397008,4.247411695,4.077529222,0.200074146,0
辩论赛,辩论赛/n(名词),55,8922,30,135,86,0.10323262,4.909449244,3.848331587,0.2002147,0
绝地,绝地/n(名词),145,17440,559,11927,3126,0.075203223,5.641787878,3.644263454,0.200215878,0
土豪发红包,土豪/n(名词) 发/v(动词) 红包/n(名词),71,507,146,225,334,0.191223925,4.05859627,3.213604298,0.200224766,0
御坂美琴,御坂美琴/nr(其他),61,117,166,60,48,0.065965806,4.14401942,2.853499305,0.200239795,0
积分入户,积分/n(名词) 入户/v(动词),82,245,163,145,256,0.073151098,3.704084378,2.749443978,0.200258398,0
秒杀价,秒杀价/n(名词),86,335,123,53,236,0.164567484,4.406426323,3.676069882,0.200279281,0
种子,种子/n(名词),639,10069,941,2092,4004,,6.342138904,5.591046567,0.200345927,0
酱油,酱油/n(名词),120,6863,170,1671,3300,0.067362955,6.452065786,5.856778028,0.200362179,0
狙击,狙击/v(动词),89,5362,165,1561,1027,0.063363351,6.300173588,5.430123926,0.200374196,0
dalao,dalao/nx(其他),83,1332,225,275,2435,0.383173894,5.634280994,4.651109307,0.200375042,0
专著,专著/n(名词),73,366,147,232,257,0.094979825,4.196290004,3.197071361,0.200419801,0
我叫mt4,我/r(代词) 叫/v(动词) mt4/nx(其他),371,979,91,115,65,0.899600195,4.246513744,2.985446759,0.200430618,0
董事,董事/n(名词),53,2544,31,387,226,0.087079945,5.295607855,3.901873036,0.200443567,0
换装,换装/v(动词),65,294,145,61,173,0.15860531,4.680456555,3.650952421,0.200445973,0
榴莲,榴莲/n(名词),72,2518,121,475,408,0.059987395,5.87178086,4.737244899,0.200522471,0
光明大陆,光明/n(名词) 大陆/n(名词),51,289,121,154,111,0.154376278,4.717449734,3.852149694,0.200531135,0
c3-xr,c3-xr/nx(其他),70,32,47,41,56,0.383173894,3.805053124,3.328906567,0.200568834,0
花鸟鱼虫,花鸟/n(名词) 鱼虫/n(名词),70,272,198,274,293,0.021923351,4.847036885,4.661414682,0.200604763,0
妖神记,妖神记/n(名词),484,1606,65,119,65,,4.174475176,2.598878457,0.200607748,0
手机贷,手机贷/n(名词),85,163,150,65,117,0.164567484,4.033588939,3.31692987,0.200676642,0
纽巴伦,纽巴伦/n(名词),55,133,245,47,116,0.164567484,3.456397026,2.782488477,0.200706285,0
礼品,礼品/n(名词),570,9030,1570,5001,8241,,6.311012847,5.849786007,0.200707482,0
